metric,label,n,mean,std,se,halfwidth,ci_lower,ci_upper,rel_error
regWait,Registration Wait (min),100,3.9192,2.5192,0.2519,0.4999,3.4194,4.4191,0.1275
triageWait,Triage Wait (min),100,0.5571,0.6500,0.0650,0.1290,0.4282,0.6861,0.2315
doctorWait,Physician Wait (min),100,247.6685,70.9955,7.0995,14.0870,233.5815,261.7556,0.0569
LOS,Length of Stay (min),100,283.4664,73.2751,7.3275,14.5394,268.9270,298.0058,0.0513
ClerkUtil,Clerk Utilisation,100,0.3688,0.0423,0.0042,0.0084,0.3604,0.3772,0.0227
NurseUtil,Nurse Utilisation,100,0.2492,0.0261,0.0026,0.0052,0.2440,0.2544,0.0208
DoctorUtil,Physician Utilisation,100,0.9065,0.0741,0.0074,0.0147,0.8918,0.9212,0.0162
regWait_low,Registration Wait (min) [low],100,3.8175,2.4061,0.2406,0.4774,3.3401,4.2950,0.1251
regWait_medium,Registration Wait (min) [medium],100,4.0808,2.8699,0.2870,0.5694,3.5113,4.6502,0.1395
regWait_high,Registration Wait (min) [high],100,3.9274,2.9448,0.2945,0.5843,3.3431,4.5117,0.1488
triageWait_low,Triage Wait (min) [low],100,0.7762,0.9951,0.0995,0.1975,0.5788,0.9737,0.2544
triageWait_medium,Triage Wait (min) [medium],100,0.2985,0.3464,0.0346,0.0687,0.2297,0.3672,0.2303
triageWait_high,Triage Wait (min) [high],100,0.2361,0.2365,0.0236,0.0469,0.1891,0.2830,0.1988
doctorWait_low,Physician Wait (min) [low],100,423.0316,135.7233,13.5723,26.9304,396.1012,449.9620,0.0637
doctorWait_medium,Physician Wait (min) [medium],100,41.5534,30.9438,3.0944,6.1399,35.4135,47.6933,0.1478
doctorWait_high,Physician Wait (min) [high],100,7.9025,2.5229,0.2523,0.5006,7.4019,8.4031,0.0633
LOS_low,Length of Stay (min) [low],100,451.6848,137.9395,13.7940,27.3702,424.3146,479.0550,0.0606
LOS_medium,Length of Stay (min) [medium],100,82.3188,32.7091,3.2709,6.4902,75.8286,88.8090,0.0788
LOS_high,Length of Stay (min) [high],100,67.7270,6.0153,0.6015,1.1936,66.5334,68.9206,0.0176
