Approach,Variable,Severity,Type,Best_Dist,KS_pvalue,n,Empirical_Mean,Empirical_Variance,SimRNG_Func,Param1_Name,Param1_Value,Param2_Name,Param2_Value,Param3_Name,Param3_Value
1 - Pooled,Registration Service,all,Pooled,Lognormal,0.0037,5000,3.2045,1.1318,Lognormal,MeanPrime,3.2045,VariancePrime,1.1318,,
1 - Pooled,Triage Service,all,Pooled,Lognormal,0.027,5000,4.2218,4.725,Lognormal,MeanPrime,4.2218,VariancePrime,4.725,,
1 - Pooled,Doctor Service,all,Pooled,Lognormal,0.1461,5000,23.8535,125.5865,Lognormal,MeanPrime,23.8535,VariancePrime,125.5865,,
1 - Pooled,Inter-arrival,all,Pooled,Lognormal,0.0,4995,8.6326,241.5158,Lognormal,MeanPrime,8.6326,VariancePrime,241.5158,,
2 - Severity,Registration Service,low,Service,Beta,0.3402,2778,2.8102,0.627,No direct SimRNG equivalent,Empirical Mean,2.8102,Empirical Variance,0.627,,
2 - Severity,Registration Service,medium,Service,Lognormal,0.0121,1744,3.4806,0.9464,Lognormal,MeanPrime,3.4806,VariancePrime,0.9464,,
2 - Severity,Registration Service,high,Service,Beta,0.6126,478,4.4886,1.9115,No direct SimRNG equivalent,Empirical Mean,4.4886,Empirical Variance,1.9115,,
2 - Severity,Triage Service,low,Service,Lognormal,0.5308,2778,3.0098,1.0091,Lognormal,MeanPrime,3.0098,VariancePrime,1.0091,,
2 - Severity,Triage Service,medium,Service,Weibull,0.464,1744,5.0372,2.7154,No direct SimRNG equivalent,Empirical Mean,5.0372,Empirical Variance,2.7154,,
2 - Severity,Triage Service,high,Service,Lognormal,0.6329,478,8.2906,6.1353,Lognormal,MeanPrime,8.2906,VariancePrime,6.1353,,
2 - Severity,Doctor Service,low,Service,Beta,0.3012,2778,18.1777,38.4343,No direct SimRNG equivalent,Empirical Mean,18.1777,Empirical Variance,38.4343,,
2 - Severity,Doctor Service,medium,Service,Lognormal,0.4107,1744,27.6747,85.2801,Lognormal,MeanPrime,27.6747,VariancePrime,85.2801,,
2 - Severity,Doctor Service,high,Service,Lognormal,0.0371,478,42.8977,175.9666,Lognormal,MeanPrime,42.8977,VariancePrime,175.9666,,
3 - Service/Wait,Registration Service,all,Service (Input),Lognormal,0.0037,5000,3.2045,1.1318,Lognormal,MeanPrime,3.2045,VariancePrime,1.1318,,
3 - Service/Wait,Triage Service,all,Service (Input),Lognormal,0.027,5000,4.2218,4.725,Lognormal,MeanPrime,4.2218,VariancePrime,4.725,,
3 - Service/Wait,Doctor Service,all,Service (Input),Lognormal,0.1461,5000,23.8535,125.5865,Lognormal,MeanPrime,23.8535,VariancePrime,125.5865,,
3 - Service/Wait,Registration Wait,all,Wait (Validation),Beta,0.1159,2794,8.359,64.0612,No direct SimRNG equivalent,Empirical Mean,8.359,Empirical Variance,64.0612,,
3 - Service/Wait,Doctor Wait,all,Wait (Validation),Weibull,0.0,4725,264.2004,68536.046,No direct SimRNG equivalent,Empirical Mean,264.2004,Empirical Variance,68536.046,,
